"rmse","r2","mse","mae"
14.9437163983,0.3074579399,223.3146597924,8.9403676593
15.2778357875,0.2761433041,233.4122663495,9.4025119876
18.5917130698,-0.0719332368,345.6517948704,11.2921990978
17.8638189073,0.0103593278,319.1160259519,11.5017119241
